"Regiao","Ano","Number.of.incident.tuberculosis.cases","Incidencia_anual","Number.of.incident.tuberculosis.cases....HIV.positive.cases.","Incidence.of.tuberculosis..per.100.000.population...HIV.positive.cases."
"52","Europe",2012,"359 000 [331 000 - 387 000]",40,"20 000 [17 000-23 000]","2.2 [1.9-2.5]"
"53","Europe",2011,"380 000 [351 000 - 410 000]",42,"19 000 [15 000-23 000]","2.1 [1.7-2.5]"
"54","Europe",2010,"406 000 [375 000 - 439 000]",45,"20 000 [17 000-23 000]","2.2 [1.8-2.6]"
"55","Europe",2009,"437 000 [411 000 - 463 000]",49,"25 000 [21 000-28 000]","2.8 [2.4-3.1]"
"56","Europe",2008,"462 000 [435 000 - 490 000]",52,"22 000 [20 000-25 000]","2.5 [2.2-2.8]"
"57","Europe",2007,"487 000 [459 000 - 514 000]",55,"16 000 [14 000-18 000]","1.8 [1.6-2]"
"58","Europe",2006,"514 000 [486 000 - 543 000]",58,"16 000 [14 000-18 000]","1.8 [1.6-2]"
"59","Europe",2005,"534 000 [504 000 - 566 000]",61,"14 000 [13 000-16 000]","1.6 [1.4-1.9]"
"60","Europe",2004,"548 000 [515 000 - 581 000]",63,"14 000 [12 000-15 000]","1.6 [1.4-1.8]"
"61","Europe",2003,"569 000 [537 000 - 601 000]",65,"14 000 [12 000-16 000]","1.6 [1.4-1.8]"
"62","Europe",2002,"570 000 [536 000 - 604 000]",65,"13 000 [11 000-14 000]","1.4 [1.3-1.6]"
"63","Europe",2001,"568 000 [533 000 - 604 000]",65,"11 000 [10 000-13 000]","1.3 [1.2-1.5]"
"64","Europe",2000,"568 000 [532 000 - 604 000]",65,"11 000 [9 400-12 000]","1.2 [1.1-1.4]"
"65","Eastern Mediterranean",2015,"749 000 [561 000 - 965 000]",116,"13 000 [9 500-17 000]","2 [1.5-2.7]"
"66","Eastern Mediterranean",2014,"736 000 [551 000 - 947 000]",116,"13 000 [9 300-16 000]","2 [1.5-2.6]"
"67","Eastern Mediterranean",2013,"735 000 [551 000 - 946 000]",118,"12 000 [8 800-15 000]","1.9 [1.4-2.5]"
"68","Eastern Mediterranean",2012,"724 000 [543 000 - 931 000]",119,"11 000 [8 600-14 000]","1.8 [1.4-2.3]"
"69","Eastern Mediterranean",2011,"711 000 [533 000 - 914 000]",119,"10 000 [7 800-13 000]","1.7 [1.3-2.1]"
"70","Eastern Mediterranean",2010,"709 000 [534 000 - 907 000]",119,"9 400 [7 300-12 000]","1.6 [1.2-2]"
"71","Eastern Mediterranean",2009,"695 000 [524 000 - 889 000]",119,"8 200 [6 400-10 000]","1.4 [1.1-1.8]"
"72","Eastern Mediterranean",2008,"682 000 [515 000 - 873 000]",120,"7 400 [5 800-9 100]","1.3 [1-1.6]"
"73","Eastern Mediterranean",2007,"670 000 [507 000 - 856 000]",120,"6 800 [5 400-8 400]","1.2 [0.97-1.5]"
"74","Eastern Mediterranean",2006,"659 000 [498 000 - 841 000]",121,"6 200 [5 000-7 700]","1.1 [0.91-1.4]"
"75","Eastern Mediterranean",2005,"648 000 [491 000 - 827 000]",122,"5 800 [4 600-7 000]","1.1 [0.87-1.3]"
"76","Eastern Mediterranean",2004,"639 000 [485 000 - 814 000]",123,"5 300 [4 300-6 400]","1 [0.82-1.2]"
"77","Eastern Mediterranean",2003,"631 000 [479 000 - 802 000]",124,"4 900 [4 000-6 000]","0.97 [0.79-1.2]"
"78","Eastern Mediterranean",2002,"622 000 [473 000 - 789 000]",125,"4 600 [3 700-5 500]","0.91 [0.74-1.1]"
"79","Eastern Mediterranean",2001,"614 000 [469 000 - 779 000]",126,"4 400 [3 600-5 300]","0.9 [0.73-1.1]"
"80","Eastern Mediterranean",2000,"606 000 [464 000 - 766 000]",127,"4 000 [3 300-4 800]","0.83 [0.68-1]"
"81","Western Pacific",2015,"1 590 000 [1 440 000 - 1 740 000]",86,"34 000 [29 000-40 000]","1.8 [1.6-2.1]"
"82","Western Pacific",2014,"1 610 000 [1 460 000 - 1 780 000]",87,"35 000 [30 000-41 000]","1.9 [1.6-2.2]"
"83","Western Pacific",2013,"1 640 000 [1 480 000 - 1 820 000]",90,"37 000 [31 000-42 000]","2 [1.7-2.3]"
"84","Western Pacific",2012,"1 690 000 [1 510 000 - 1 890 000]",93,"38 000 [32 000-44 000]","2.1 [1.8-2.4]"
"85","Western Pacific",2011,"1 700 000 [1 510 000 - 1 900 000]",94,"39 000 [33 000-46 000]","2.2 [1.8-2.5]"
"86","Western Pacific",2010,"1 710 000 [1 510 000 - 1 910 000]",95,"40 000 [33 000-46 000]","2.2 [1.9-2.6]"
"87","Western Pacific",2009,"1 770 000 [1 570 000 - 1 980 000]",99,"41 000 [35 000-48 000]","2.3 [1.9-2.7]"
"88","Western Pacific",2008,"1 780 000 [1 580 000 - 1 990 000]",100,"45 000 [38 000-52 000]","2.5 [2.1-2.9]"
"89","Western Pacific",2007,"1 790 000 [1 570 000 - 2 030 000]",101,"41 000 [34 000-48 000]","2.3 [1.9-2.7]"
"90","Western Pacific",2006,"1 830 000 [1 580 000 - 2 090 000]",104,"41 000 [34 000-48 000]","2.3 [1.9-2.7]"
"91","Western Pacific",2005,"1 870 000 [1 600 000 - 2 150 000]",107,"40 000 [34 000-48 000]","2.3 [1.9-2.7]"
"92","Western Pacific",2004,"1 900 000 [1 610 000 - 2 210 000]",110,"40 000 [33 000-47 000]","2.3 [1.9-2.7]"
"93","Western Pacific",2003,"1 940 000 [1 630 000 - 2 280 000]",113,"39 000 [32 000-47 000]","2.3 [1.9-2.7]"
"94","Western Pacific",2002,"1 980 000 [1 650 000 - 2 340 000]",116,"38 000 [31 000-45 000]","2.2 [1.8-2.7]"
"95","Western Pacific",2001,"2 020 000 [1 670 000 - 2 410 000]",119,"37 000 [30 000-44 000]","2.2 [1.8-2.6]"
"96","Western Pacific",2000,"2 050 000 [1 670 000 - 2 460 000]",121,"35 000 [28 000-42 000]","2.1 [1.7-2.5]"
"97","Global",2015,"10 400 000 [8 740 000 - 12 200 000]",142,"1 170 000 [1 020 000-1 320 000]","16 [14-18]"
"98","Global",2014,"10 400 000 [8 770 000 - 12 200 000]",144,"1 220 000 [1 070 000-1 390 000]","17 [15-19]"
"99","Global",2013,"10 500 000 [8 840 000 - 12 400 000]",147,"1 290 000 [1 120 000-1 470 000]","18 [16-20]"
"100","Global",2012,"10 600 000 [8 920 000 - 12 500 000]",150,"1 370 000 [1 190 000-1 560 000]","19 [17-22]"
"101","Global",2011,"10 700 000 [8 960 000 - 12 600 000]",153,"1 420 000 [1 240 000-1 610 000]","20 [18-23]"
"102","Global",2010,"10 700 000 [8 980 000 - 12 600 000]",155,"1 440 000 [1 260 000-1 640 000]","21 [18-24]"
"103","Global",2009,"10 800 000 [9 070 000 - 12 800 000]",159,"1 480 000 [1 280 000-1 700 000]","22 [19-25]"
"104","Global",2008,"10 900 000 [9 100 000 - 12 800 000]",161,"1 510 000 [1 290 000-1 740 000]","22 [19-26]"
"105","Global",2007,"10 900 000 [9 110 000 - 12 900 000]",164,"1 500 000 [1 300 000-1 710 000]","22 [19-26]"
"106","Global",2006,"10 900 000 [9 130 000 - 12 900 000]",166,"1 510 000 [1 310 000-1 720 000]","23 [20-26]"
"107","Global",2005,"11 000 000 [9 140 000 - 12 900 000]",169,"1 510 000 [1 310 000-1 720 000]","23 [20-26]"
"108","Global",2004,"10 900 000 [9 120 000 - 12 900 000]",170,"1 490 000 [1 290 000-1 700 000]","23 [20-27]"
"109","Global",2003,"10 900 000 [9 080 000 - 12 900 000]",172,"1 460 000 [1 270 000-1 670 000]","23 [20-26]"
"110","Global",2002,"10 800 000 [8 990 000 - 12 700 000]",172,"1 420 000 [1 230 000-1 620 000]","23 [20-26]"
"111","Global",2001,"10 600 000 [8 880 000 - 12 600 000]",172,"1 370 000 [1 190 000-1 560 000]","22 [19-25]"
"112","Global",2000,"10 500 000 [8 770 000 - 12 400 000]",172,"1 300 000 [1 130 000-1 490 000]","21 [19-24]"
